
initial_prompt,merchant_document_text,is_compelling,confidence_score,evidence_details,original_prediction_is_compelling,improved_prediction_is_compelling,original_prediction_confidence,improved_prediction_confidence
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.09,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof.",FALSE,FALSE,0.22,0.18
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.37,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.56,0.34
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded resident permit. There is also a email receipt confirming the order. The resident permit image is clear and legible.,TRUE,0.92,Evidence includes a uploaded resident permit. with a email receipt confirming the order. The resident permit image is clear and legible.,FALSE,TRUE,1,0.87
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared student ID. There is also a confirmation email thread confirming the order. The student ID image is clear and legible.,TRUE,0.98,Evidence includes a shared student ID. with a confirmation email thread confirming the order. The student ID image is clear and legible.,TRUE,TRUE,1,0.94
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.37,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,FALSE,FALSE,0.32,0.41
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.11,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof.",FALSE,FALSE,0.13,0.1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned national ID. There is also a email from cardholder confirming the order. A selfie with the national ID and the cardholder's face is included.,TRUE,0.83,Evidence includes a scanned national ID. with a email from cardholder confirming the order. A selfie with the national ID and the cardholder's face is included.,TRUE,TRUE,0.7,0.81
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided foreign ID card. There is also a online chat transcript confirming the order. The foreign ID card image is clear and legible.,TRUE,0.86,Evidence includes a provided foreign ID card. with a online chat transcript confirming the order. The foreign ID card image is clear and legible.,TRUE,TRUE,0.91,0.84
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.06,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,TRUE,FALSE,0.16,0.12
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.16,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,FALSE,FALSE,0.22,0.22
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided driver's license. There is also a screenshot of chat confirming the order.,TRUE,0.75,Evidence includes a provided driver's license. with a screenshot of chat confirming the order.,TRUE,TRUE,0.74,0.71
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.17,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,TRUE,FALSE,0.12,0.08
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.23,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,FALSE,FALSE,0.31,0.32
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent passport. There is also a email confirmation confirming the order.,TRUE,0.88,Evidence includes a sent passport. with a email confirmation confirming the order.,TRUE,TRUE,0.87,0.83
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.02,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,FALSE,TRUE,0,0.03
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided driver's license. There is also a email from cardholder confirming the order.,TRUE,0.81,Evidence includes a provided driver's license. with a email from cardholder confirming the order.,FALSE,TRUE,0.9,0.83
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned national ID. There is also a email from the merchant confirming the order.,TRUE,0.82,Evidence includes a scanned national ID. with a email from the merchant confirming the order.,TRUE,TRUE,0.81,0.73
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.09,"Only invoice is attached, no ID or email proof. Missing photographic or email proof.",FALSE,FALSE,0.14,0.19
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared passport. There is also a email receipt confirming the order. The passport image is clear and legible. A selfie with the passport and the cardholder's face is included.,TRUE,0.83,Evidence includes a shared passport. with a email receipt confirming the order. The passport image is clear and legible. A selfie with the passport and the cardholder's face is included.,TRUE,TRUE,0.82,0.82
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.05,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,FALSE,FALSE,0,0.11
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.04,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,FALSE,FALSE,0.15,0
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent student ID. There is also a online chat transcript confirming the order. The student ID image is clear and legible.,TRUE,0.77,Evidence includes a sent student ID. with a online chat transcript confirming the order. The student ID image is clear and legible.,TRUE,TRUE,0.78,0.86
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.12,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,TRUE,FALSE,0.28,0.09
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned passport. There is also a email from cardholder confirming the order.,TRUE,0.72,Evidence includes a scanned passport. with a email from cardholder confirming the order.,TRUE,FALSE,0.86,0.74
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.13,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,TRUE,FALSE,0.08,0.08
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned foreign ID card. There is also a email receipt confirming the order.,TRUE,0.95,Evidence includes a scanned foreign ID card. with a email receipt confirming the order.,TRUE,TRUE,0.77,1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided resident permit. There is also a email confirmation confirming the order. A selfie with the resident permit and the cardholder's face is included.,TRUE,0.88,Evidence includes a provided resident permit. with a email confirmation confirming the order. A selfie with the resident permit and the cardholder's face is included.,TRUE,FALSE,0.75,0.95
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned employee badge. There is also a email confirmation confirming the order.,TRUE,0.86,Evidence includes a scanned employee badge. with a email confirmation confirming the order.,TRUE,TRUE,1,0.8
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared foreign ID card. There is also a order confirmation email confirming the order. The foreign ID card image is clear and legible.,TRUE,0.81,Evidence includes a shared foreign ID card. with a order confirmation email confirming the order. The foreign ID card image is clear and legible.,FALSE,TRUE,0.75,0.82
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.04,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0,0.06
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.14,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,TRUE,FALSE,0.1,0.14
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared passport. There is also a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,0.73,Evidence includes a shared passport. with a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,TRUE,0.88,0.65
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent resident permit. There is also a confirmation email thread confirming the order.,TRUE,0.89,Evidence includes a sent resident permit. with a confirmation email thread confirming the order.,TRUE,TRUE,0.69,0.85
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared passport. There is also a email from the merchant confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,0.86,Evidence includes a shared passport. with a email from the merchant confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,TRUE,0.77,0.92
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded resident permit. There is also a email receipt confirming the order. The resident permit image is clear and legible.,TRUE,0.84,Evidence includes a uploaded resident permit. with a email receipt confirming the order. The resident permit image is clear and legible.,FALSE,TRUE,0.99,0.78
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.19,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,FALSE,FALSE,0,0.16
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Low-resolution video call screenshot provided but no email or ID copy.,FALSE,0.0,Low-resolution video call screenshot provided but no email or ID copy. Missing photographic or email proof.,TRUE,TRUE,0,0
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded government ID. There is also a screenshot of chat confirming the order. The government ID image is clear and legible.,TRUE,0.96,Evidence includes a uploaded government ID. with a screenshot of chat confirming the order. The government ID image is clear and legible.,FALSE,TRUE,0.94,1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer called to confirm identity; merchant notes missing.,FALSE,0.04,Customer called to confirm identity; merchant notes missing. Missing photographic or email proof.,FALSE,FALSE,0.22,0.08
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided government ID. There is also a email receipt confirming the order.,TRUE,0.85,Evidence includes a provided government ID. with a email receipt confirming the order.,TRUE,TRUE,0.86,0.79
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded employee badge. There is also a confirmation email thread confirming the order. The employee badge image is clear and legible.,TRUE,0.94,Evidence includes a uploaded employee badge. with a confirmation email thread confirming the order. The employee badge image is clear and legible.,TRUE,TRUE,1,0.95
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.29,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,TRUE,FALSE,0.4,0.3
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided national ID. There is also a email from cardholder confirming the order.,TRUE,0.72,Evidence includes a provided national ID. with a email from cardholder confirming the order.,TRUE,TRUE,0.87,0.78
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.0,"Only invoice is attached, no ID or email proof. Missing photographic or email proof.",FALSE,FALSE,0,0
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.15,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof.",TRUE,TRUE,0.29,0.1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided driver's license. There is also a email from the merchant confirming the order. The driver's license image is clear and legible.,TRUE,0.89,Evidence includes a provided driver's license. with a email from the merchant confirming the order. The driver's license image is clear and legible.,TRUE,TRUE,0.88,0.82
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.37,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.44,0.28
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent student ID. There is also a email from cardholder confirming the order. The student ID image is clear and legible.,TRUE,1.0,Evidence includes a sent student ID. with a email from cardholder confirming the order. The student ID image is clear and legible.,TRUE,TRUE,0.82,0.92
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided foreign ID card. There is also a online chat transcript confirming the order. The foreign ID card image is clear and legible. A selfie with the foreign ID card and the cardholder's face is included.,TRUE,0.94,Evidence includes a provided foreign ID card. with a online chat transcript confirming the order. The foreign ID card image is clear and legible. A selfie with the foreign ID card and the cardholder's face is included.,TRUE,TRUE,0.95,0.86
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared foreign ID card. There is also a online chat transcript confirming the order.,TRUE,0.71,Evidence includes a shared foreign ID card. with a online chat transcript confirming the order.,TRUE,TRUE,0.83,0.66
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned resident permit. There is also a order confirmation email confirming the order. A selfie with the resident permit and the cardholder's face is included.,TRUE,0.73,Evidence includes a scanned resident permit. with a order confirmation email confirming the order. A selfie with the resident permit and the cardholder's face is included.,FALSE,TRUE,0.89,0.66
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared national ID. There is also a screenshot of chat confirming the order. The national ID image is clear and legible. A selfie with the national ID and the cardholder's face is included.,TRUE,0.87,Evidence includes a shared national ID. with a screenshot of chat confirming the order. The national ID image is clear and legible. A selfie with the national ID and the cardholder's face is included.,TRUE,TRUE,0.95,0.95
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.04,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof.",FALSE,TRUE,0.06,0.13
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.05,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,TRUE,FALSE,0,0.05
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.2,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,FALSE,FALSE,0.23,0.17
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer called to confirm identity; merchant notes missing.,FALSE,0.07,Customer called to confirm identity; merchant notes missing. Missing photographic or email proof.,FALSE,FALSE,0.17,0.16
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded government ID. There is also a order confirmation email confirming the order. The government ID image is clear and legible. A selfie with the government ID and the cardholder's face is included.,TRUE,0.74,Evidence includes a uploaded government ID. with a order confirmation email confirming the order. The government ID image is clear and legible. A selfie with the government ID and the cardholder's face is included.,FALSE,FALSE,0.62,0.78
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared national ID. There is also a email receipt confirming the order.,TRUE,0.89,Evidence includes a shared national ID. with a email receipt confirming the order.,TRUE,TRUE,0.86,0.85
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.33,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,FALSE,FALSE,0.22,0.29
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded employee badge. There is also a screenshot of chat confirming the order.,TRUE,0.76,Evidence includes a uploaded employee badge. with a screenshot of chat confirming the order.,TRUE,TRUE,0.75,0.86
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided resident permit. There is also a email receipt confirming the order.,TRUE,0.78,Evidence includes a provided resident permit. with a email receipt confirming the order.,TRUE,TRUE,0.64,0.74
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.15,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,TRUE,FALSE,0.26,0.2
